Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/a_90 C1""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:08,2019-07-19 13:05:08,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:08,2019-07-19 13:05:09,0.320s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""81"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:09,2019-07-19 13:05:09,0.239s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:09,2019-07-19 13:05:09,0.008s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:09,2019-07-19 13:05:09,0.297s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/a_90 C1""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:09,2019-07-19 13:05:09,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:09,2019-07-19 13:05:10,0.454s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""90"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:10,2019-07-19 13:05:10,0.234s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:10,2019-07-19 13:05:10,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:10,2019-07-19 13:05:10,0.427s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/PageThreshold/a_600 JB""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:10,2019-07-19 13:05:10,0.030s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:10,2019-07-19 13:05:11,0.352s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""550"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:11,2019-07-19 13:05:11,0.230s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:11,2019-07-19 13:05:11,0.002s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:11,2019-07-19 13:05:11,0.314s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/PageThreshold/a_600 JB""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:11,2019-07-19 13:05:11,0.002s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:11,2019-07-19 13:05:12,0.374s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""600"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:12,2019-07-19 13:05:12,0.240s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:12,2019-07-19 13:05:12,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:12,2019-07-19 13:05:12,0.375s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/PageThreshold/a_80 JB""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:12,2019-07-19 13:05:12,0.009s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:12,2019-07-19 13:05:13,0.382s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""30"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:13,2019-07-19 13:05:13,0.172s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:13,2019-07-19 13:05:13,0.002s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:13,2019-07-19 13:05:13,0.331s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/PageThreshold/a_80 JB""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:13,2019-07-19 13:05:13,0.002s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:13,2019-07-19 13:05:13,0.404s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""80"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:13,2019-07-19 13:05:14,0.187s,PASSED
